3923,メルカプト酢酸系製剤（ＢＡＬを含む）
3925,チオ硫酸ナトリウム製剤
3929,その他の解毒剤
3932,シアナミド製剤
3939,その他の習慣性中毒用剤
3941,コルヒチン製剤
3942,プロベネシド製剤
3943,アロプリノール製剤
3949,その他の痛風治療剤
3954,ウロキナーゼ製剤
3959,その他の酵素製剤
3961,スルフォニル尿素系製剤
3962,ビグアナイド系製剤
3969,その他の糖尿病用剤
3991,コンドロイチン製剤
3992,アデノシン製剤
3999,他に分類されないその他の代謝性医薬品
4191,アデニン製剤
4211,クロルエチルアミン系製剤
4212,エチレンイミン系製剤
4213,スルホン酸エステル系製剤
4219,その他のアルキル化剤
4221,メルカプトプリン系製剤
4222,メトトレキサート製剤
4223,フルオロウラシル系製剤
4224,シトシン系製剤
4229,その他の代謝拮抗剤
4231,マイトマイシンＣ製剤
4233,アクチノマイシンＤ製剤
4234,ブレオマイシン系製剤
4235,アントラサイクリン系抗生物質製剤
4239,その他の抗腫瘍性抗生物質製剤
4240,抗腫瘍性植物成分製剤
4291,その他の抗悪性腫瘍用剤
4299,他に分類されない腫瘍用薬
4300,放射性医薬品
4411,ジフェンヒドラミン系製剤
4413,フェノチアジン系製剤
4419,その他の抗ヒスタミン剤
4420,刺激療法剤
4490,その他のアレルギー用薬
4900,その他の組織細胞機能用医薬品
5100,生薬
5200,漢方製剤
5900,その他の生薬及び漢方処方に基づく医薬品
6111,ペニシリン系抗生物質製剤；天然ペニシリン・合成ペニシリン
6112,リンコマイシン系抗生物質製剤
6113,バンコマイシン製剤
6119,その他の主としてグラム陽性菌に作用するもの
6122,モノバクタム系抗生物質製剤
6123,アミノ糖系抗生物質製剤
6124,スペクチノマイシン製剤
6125,コリスチン製剤
6126,ポリミキシンＢ製剤
6129,その他の主としてグラム陰性菌に作用するもの
6131,ペニシリン系抗生物質製剤；合成ペニシリン
6132,セフェム系抗生物質製剤
6133,オキサセフェム系抗生物質製剤
6134,アミノ糖系抗生物質製剤
6135,ホスホマイシン製剤
6139,その他の主としてグラム陽性・陰性菌に作用するもの
6141,エリスロマイシン製剤
6142,スピラマイシン系抗生物質製剤
6149,その他の主としてグラム陽性菌、マイコプラズマに作用するもの
6151,クロラムフェニコール製剤
6152,テトラサイクリン系抗生物質製剤
6161,ストレプトマイシン系抗生物質製剤
6162,サイクロセリン製剤
6164,リファンピシン製剤
6169,その他の主として抗酸菌に作用するもの
6173,アムホテリシンＢ製剤
6179,その他の主としてカビに作用するもの
6191,ペニシリン系抗生物質複合製剤
6199,他に分類されない抗生物質製剤
6212,イソキサゾール核を有するサルファ剤
6219,その他のサルファ剤
6221,パラアミノサリチル系製剤
6222,イソニアジド系製剤
6223,ピラジナミド製剤
6224,エチオナミド製剤
6225,エタンブトール製剤
6239,その他の抗ハンセン病剤
6241,ピリドンカルボン酸系製剤
6249,その他の合成抗菌剤
6250,抗ウイルス剤
6290,その他の化学療法剤
6311,細菌ワクチン類
6313,ウイルスワクチン類
6322,トキソイド類
6331,抗毒素類
6341,全血製剤
6342,血液成分製剤
6343,血漿分画製剤
6349,その他の血液製剤類
6391,結核菌含有及び抗アレルギー的物質製剤
6393,精製ツベルクリン
6399,他に分類されない生物学的製剤
6415,キニーネ製剤
6419,その他の抗原虫剤
6422,チモール系製剤
6424,サントニン系製剤
6428,ピペラジン製剤
6429,その他の駆虫剤
7111,乳糖類
7112,デンプン類
7113,タルク類
7119,その他の賦形剤
7121,油脂性基剤；ワセリン、パラフィン等
7122,乳剤性基剤；精製ラノリン、親水軟膏等
7123,水溶性基剤；マクロゴール1500等
7129,その他の軟膏基剤
7131,精製水類
7134,エーテル類
7139,その他の溶解剤
7142,シロップ製剤；単シロップ等
7143,生薬製剤；カンゾウ末等
7149,その他の矯味、矯臭、着色剤
7190,その他の調剤用薬
7211,ヨウ素化合物製剤
7212,バリウム塩製剤
7213,造影補助剤
7214,配合製剤
7219,その他のＸ線造影剤
7223,内分泌機能検査用試薬
7224,肝機能検査用試薬
7225,腎機能検査用試薬
7229,その他の機能検査用試薬
7290,その他の診断用薬（体外診断用医薬品を除く）
7311,パラオキシ安息香酸エステル系製剤
7319,その他の防腐剤
7451,増殖用培地
7990,他に分類されない治療を主目的としない医薬品
8112,あへん末製剤
8113,あへんチンキ及びエキス類製剤
8114,モルヒネ系製剤
8115,コデイン系製剤
8119,その他のあへんアルカロイド系麻薬
8121,コカイン系製剤
8211,フェニルピペリジン系製剤
8219,その他の合成麻薬
